left_eye_left_side_white,left_eye_right_side_white,right_eye_left_side_white,right_eye_right_side_white,left_ratio,right_ratio,eye_ratio
6,107,12,77,0.06,0.06,0.06
6,102,8,73,0.06,0.06,0.06
3,83,9,69,0.04,0.04,0.04
2,87,15,68,0.02,0.02,0.02
3,82,14,71,0.04,0.04,0.04
4,84,13,74,0.05,0.05,0.05
5,92,15,72,0.05,0.05,0.05
5,90,12,68,0.06,0.06,0.06
5,92,15,71,0.05,0.05,0.05
6,90,12,82,0.07,0.07,0.07
4,85,10,82,0.05,0.05,0.05
4,85,13,76,0.05,0.05,0.05
5,76,12,73,0.07,0.07,0.07
5,75,19,71,0.07,0.07,0.07
4,66,11,74,0.06,0.06,0.06
1,60,19,71,0.02,0.02,0.02
4,63,15,59,0.06,0.06,0.06
3,64,20,60,0.05,0.05,0.05
4,58,18,61,0.07,0.07,0.07
4,62,20,59,0.06,0.06,0.06
3,65,18,60,0.05,0.05,0.05
3,66,13,55,0.05,0.05,0.05
2,56,9,64,0.04,0.04,0.04
3,65,12,60,0.05,0.05,0.05
3,63,17,68,0.05,0.05,0.05
1,53,13,57,0.02,0.02,0.02
4,55,18,67,0.07,0.07,0.07
4,54,14,50,0.07,0.07,0.07
3,52,13,52,0.06,0.06,0.06
4,54,14,52,0.07,0.07,0.07
3,45,8,50,0.07,0.07,0.07
2,41,14,50,0.05,0.05,0.05
3,48,17,48,0.06,0.06,0.06
3,49,16,48,0.06,0.06,0.06
3,31,13,42,0.1,0.1,0.1
3,35,15,44,0.09,0.09,0.09
3,45,15,42,0.07,0.07,0.07
2,42,17,41,0.05,0.05,0.05
3,34,15,37,0.09,0.09,0.09
2,29,18,37,0.07,0.07,0.07
1,43,19,42,0.02,0.02,0.02
5,19,10,35,0.26,0.26,0.26
2,40,22,54,0.05,0.05,0.05
3,49,10,54,0.06,0.06,0.06
3,23,13,27,0.13,0.13,0.13
4,30,13,50,0.13,0.13,0.13
5,37,12,46,0.14,0.14,0.14
7,40,16,59,0.17,0.17,0.17
7,41,20,70,0.17,0.17,0.17
4,49,19,74,0.08,0.08,0.08
3,32,13,53,0.09,0.09,0.09
3,34,19,51,0.09,0.09,0.09
3,38,14,45,0.08,0.08,0.08
5,62,24,79,0.08,0.08,0.08
14,88,28,114,0.16,0.16,0.16
1,43,19,79,0.02,0.02,0.02
1,57,22,79,0.02,0.02,0.02
4,36,10,45,0.11,0.11,0.11
16,100,22,119,0.16,0.16,0.16
14,96,19,117,0.15,0.15,0.15
5,76,22,107,0.07,0.07,0.07
5,58,22,93,0.09,0.09,0.09
4,81,26,112,0.05,0.05,0.05
5,92,21,102,0.05,0.05,0.05
4,84,20,102,0.05,0.05,0.05
5,76,17,92,0.07,0.07,0.07
5,67,13,102,0.07,0.07,0.07
6,115,27,158,0.05,0.05,0.05
9,104,24,140,0.09,0.09,0.09
7,124,27,147,0.06,0.06,0.06
4,122,26,145,0.03,0.03,0.03
6,123,33,141,0.05,0.05,0.05
7,105,24,143,0.07,0.07,0.07
5,111,29,138,0.05,0.05,0.05
7,139,27,135,0.05,0.05,0.05
9,124,25,123,0.07,0.07,0.07
13,133,22,128,0.1,0.1,0.1
14,122,29,115,0.11,0.11,0.11
4,130,24,109,0.03,0.03,0.03
5,117,24,87,0.04,0.04,0.04
4,119,22,107,0.03,0.03,0.03
5,104,24,90,0.05,0.05,0.05
6,74,34,59,0.08,0.08,0.08
8,62,31,73,0.13,0.13,0.13
6,65,31,66,0.09,0.09,0.09
5,65,36,72,0.08,0.08,0.08
6,52,28,55,0.12,0.12,0.12
3,35,17,40,0.09,0.09,0.09
2,39,20,49,0.05,0.05,0.05
4,42,23,48,0.1,0.1,0.1
5,45,25,58,0.11,0.11,0.11
2,44,30,61,0.05,0.05,0.05
3,47,29,51,0.06,0.06,0.06
2,48,25,50,0.04,0.04,0.04
2,50,27,62,0.04,0.04,0.04
3,51,29,66,0.06,0.06,0.06
4,51,28,65,0.08,0.08,0.08
9,51,30,60,0.18,0.18,0.18
5,60,26,65,0.08,0.08,0.08
3,60,27,65,0.05,0.05,0.05
4,58,27,52,0.07,0.07,0.07
5,61,31,64,0.08,0.08,0.08
4,61,31,60,0.07,0.07,0.07
3,87,17,59,0.03,0.03,0.03
2,88,14,72,0.02,0.02,0.02
4,84,17,70,0.05,0.05,0.05
4,91,18,82,0.04,0.04,0.04
5,88,17,76,0.06,0.06,0.06
5,93,21,86,0.05,0.05,0.05
18,29,60,51,0.62,0.62,0.62
35,17,86,49,2.06,2.06,2.06
43,17,87,49,2.53,2.53,2.53
45,14,97,55,3.21,3.21,3.21
44,11,117,54,4.0,4.0,4.0
60,7,118,46,8.57,8.57,8.57
69,12,119,47,5.75,5.75,5.75
64,9,119,46,7.11,7.11,7.11
68,11,116,43,6.18,6.18,6.18
64,7,125,50,9.14,9.14,9.14
59,7,119,50,8.43,8.43,8.43
60,7,125,43,8.57,8.57,8.57
57,7,123,42,8.14,8.14,8.14
54,8,130,45,6.75,6.75,6.75
52,8,130,45,6.5,6.5,6.5
51,7,123,42,7.29,7.29,7.29
55,8,121,46,6.88,6.88,6.88
55,6,117,43,9.17,9.17,9.17
57,8,121,48,7.12,7.12,7.12
50,11,114,44,4.55,4.55,4.55
53,10,115,47,5.3,5.3,5.3
54,7,107,51,7.71,7.71,7.71
54,6,119,48,9.0,9.0,9.0
55,4,117,43,13.75,13.75,13.75
56,9,123,47,6.22,6.22,6.22
55,11,113,48,5.0,5.0,5.0
29,9,95,52,3.22,3.22,3.22
7,38,48,51,0.18,0.18,0.18
7,43,35,50,0.16,0.16,0.16
12,47,38,57,0.26,0.26,0.26
10,48,37,63,0.21,0.21,0.21
9,42,41,70,0.21,0.21,0.21
9,45,40,63,0.2,0.2,0.2
6,59,25,59,0.1,0.1,0.1
3,61,29,71,0.05,0.05,0.05
4,52,26,65,0.08,0.08,0.08
5,60,28,66,0.08,0.08,0.08
5,63,27,62,0.08,0.08,0.08
2,60,29,62,0.03,0.03,0.03
3,61,23,60,0.05,0.05,0.05
3,60,27,71,0.05,0.05,0.05
4,74,14,63,0.05,0.05,0.05
1,84,14,67,0.01,0.01,0.01
1,95,11,66,0.01,0.01,0.01
3,88,21,61,0.03,0.03,0.03
3,91,14,72,0.03,0.03,0.03
3,94,15,75,0.03,0.03,0.03
9,47,34,53,0.19,0.19,0.19
12,42,33,59,0.29,0.29,0.29
14,44,34,65,0.32,0.32,0.32
13,43,37,59,0.3,0.3,0.3
7,47,40,49,0.15,0.15,0.15
13,43,38,58,0.3,0.3,0.3
16,36,45,57,0.44,0.44,0.44
14,42,50,64,0.33,0.33,0.33
17,39,48,59,0.44,0.44,0.44
