left_eye_left_side_white,left_eye_right_side_white,right_eye_left_side_white,right_eye_right_side_white,left_ratio,right_ratio,eye_ratio
6,40,32,39,0.15,0.15,0.15
2,37,24,62,0.05,0.05,0.05
6,15,5,19,0.4,0.4,0.4
7,45,4,73,0.16,0.16,0.16
6,31,3,79,0.19,0.19,0.19
3,40,4,82,0.07,0.07,0.07
2,19,10,13,0.11,0.11,0.11
3,22,27,32,0.14,0.14,0.14
1,23,37,44,0.04,0.04,0.04
17,19,44,40,0.89,0.89,0.89
10,17,43,45,0.59,0.59,0.59
1,17,45,41,0.06,0.06,0.06
5,15,42,36,0.33,0.33,0.33
23,9,71,18,2.56,2.56,2.56
8,11,62,15,0.73,0.73,0.73
6,10,66,20,0.6,0.6,0.6
4,8,60,27,0.5,0.5,0.5
4,12,59,46,0.33,0.33,0.33
3,11,76,51,0.27,0.27,0.27
5,39,70,65,0.13,0.13,0.13
2,47,52,81,0.04,0.04,0.04
9,44,59,60,0.2,0.2,0.2
32,28,89,69,1.14,1.14,1.14
37,30,82,93,1.23,1.23,1.23
37,32,87,87,1.16,1.16,1.16
37,25,99,89,1.48,1.48,1.48
41,29,95,86,1.41,1.41,1.41
41,28,101,77,1.46,1.46,1.46
49,28,101,68,1.75,1.75,1.75
47,27,109,65,1.74,1.74,1.74
45,30,108,67,1.5,1.5,1.5
34,16,65,26,2.12,2.12,2.12
9,11,68,42,0.82,0.82,0.82
14,15,69,47,0.93,0.93,0.93
22,16,79,47,1.38,1.38,1.38
28,17,82,50,1.65,1.65,1.65
28,18,81,51,1.56,1.56,1.56
32,16,88,52,2.0,2.0,2.0
31,21,91,48,1.48,1.48,1.48
20,30,85,47,0.67,0.67,0.67
7,43,41,51,0.16,0.16,0.16
8,50,39,59,0.16,0.16,0.16
9,57,37,59,0.16,0.16,0.16
11,53,42,60,0.21,0.21,0.21
23,66,44,72,0.35,0.35,0.35
14,77,48,100,0.18,0.18,0.18
19,82,40,101,0.23,0.23,0.23
24,90,45,90,0.27,0.27,0.27
15,73,44,79,0.21,0.21,0.21
11,63,39,87,0.17,0.17,0.17
22,74,45,74,0.3,0.3,0.3
19,55,53,83,0.35,0.35,0.35
20,72,45,96,0.28,0.28,0.28
13,54,47,77,0.24,0.24,0.24
14,64,44,70,0.22,0.22,0.22
47,56,89,80,0.84,0.84,0.84
39,46,90,80,0.85,0.85,0.85
28,39,70,63,0.72,0.72,0.72
4,24,63,69,0.17,0.17,0.17
3,28,31,38,0.11,0.11,0.11
2,34,33,38,0.06,0.06,0.06
6,54,17,38,0.11,0.11,0.11
3,60,19,52,0.05,0.05,0.05
3,67,23,41,0.04,0.04,0.04
4,57,34,44,0.07,0.07,0.07
7,49,27,62,0.14,0.14,0.14
8,49,34,63,0.16,0.16,0.16
9,59,36,59,0.15,0.15,0.15
7,59,33,56,0.12,0.12,0.12
8,74,23,61,0.11,0.11,0.11
6,78,22,56,0.08,0.08,0.08
5,78,16,62,0.06,0.06,0.06
5,79,17,63,0.06,0.06,0.06
1,70,11,65,0.01,0.01,0.01
4,79,15,61,0.05,0.05,0.05
2,85,14,68,0.02,0.02,0.02
5,84,14,62,0.06,0.06,0.06
5,70,24,41,0.07,0.07,0.07
6,60,29,54,0.1,0.1,0.1
13,72,28,59,0.18,0.18,0.18
7,69,33,61,0.1,0.1,0.1
16,69,27,63,0.23,0.23,0.23
15,70,31,58,0.21,0.21,0.21
12,51,38,56,0.24,0.24,0.24
18,54,44,62,0.33,0.33,0.33
6,32,26,43,0.19,0.19,0.19
2,20,39,37,0.1,0.1,0.1
10,33,49,32,0.3,0.3,0.3
17,37,50,36,0.46,0.46,0.46
19,35,50,42,0.54,0.54,0.54
24,39,63,54,0.62,0.62,0.62
25,40,60,60,0.62,0.62,0.62
27,39,65,57,0.69,0.69,0.69
31,44,62,62,0.7,0.7,0.7
32,41,69,65,0.78,0.78,0.78
33,40,66,62,0.82,0.82,0.82
34,40,72,58,0.85,0.85,0.85
34,15,99,41,2.27,2.27,2.27
28,14,97,46,2.0,2.0,2.0
24,17,92,40,1.41,1.41,1.41
25,16,89,51,1.56,1.56,1.56
23,13,80,37,1.77,1.77,1.77
23,15,85,40,1.53,1.53,1.53
21,14,84,50,1.5,1.5,1.5
22,13,87,41,1.69,1.69,1.69
22,15,89,42,1.47,1.47,1.47
24,13,89,35,1.85,1.85,1.85
21,13,82,37,1.62,1.62,1.62
19,11,88,34,1.73,1.73,1.73
18,16,89,33,1.12,1.12,1.12
26,12,88,42,2.17,2.17,2.17
32,19,92,49,1.68,1.68,1.68
40,18,93,55,2.22,2.22,2.22
43,23,90,38,1.87,1.87,1.87
39,26,89,42,1.5,1.5,1.5
42,28,103,56,1.5,1.5,1.5
17,41,61,56,0.41,0.41,0.41
13,50,39,55,0.26,0.26,0.26
20,47,42,66,0.43,0.43,0.43
19,52,39,61,0.37,0.37,0.37
16,54,40,73,0.3,0.3,0.3
11,65,35,66,0.17,0.17,0.17
9,67,32,77,0.13,0.13,0.13
11,63,35,68,0.17,0.17,0.17
3,65,29,78,0.05,0.05,0.05
17,60,40,74,0.28,0.28,0.28
20,53,40,65,0.38,0.38,0.38
20,51,35,69,0.39,0.39,0.39
12,56,45,66,0.21,0.21,0.21
18,52,46,69,0.35,0.35,0.35
19,54,43,55,0.35,0.35,0.35
19,56,44,69,0.34,0.34,0.34
12,55,44,53,0.22,0.22,0.22
22,54,41,66,0.41,0.41,0.41
20,48,41,71,0.42,0.42,0.42
17,60,43,64,0.28,0.28,0.28
18,58,45,64,0.31,0.31,0.31
16,57,44,70,0.28,0.28,0.28
9,60,36,68,0.15,0.15,0.15
20,60,39,81,0.33,0.33,0.33
14,57,40,63,0.25,0.25,0.25
15,58,36,65,0.26,0.26,0.26
6,14,41,52,0.43,0.43,0.43
6,38,27,58,0.16,0.16,0.16
15,48,37,78,0.31,0.31,0.31
21,51,41,72,0.41,0.41,0.41
19,50,37,74,0.38,0.38,0.38
